type,state,variable,level,likely,Frequency,WgtFreq,pct,pctSE,pctLB,pctUB
ABC Unweighted,WI,age2,0,1,804,,0.9721886336,0.0057212932,0.9609587883,0.9834184789
ABC Unweighted,WI,age2,1,1,23,,0.0278113664,0.0057212932,0.0165815211,0.0390412117
ABC Unweighted,WI,age3,0,1,733,,0.8863361548,0.0110437909,0.8646592262,0.9080130833
ABC Unweighted,WI,age3,1,1,94,,0.1136638452,0.0110437909,0.0919869167,0.1353407738
ABC Unweighted,WI,age4,0,1,718,,0.8681983071,0.0117700344,0.8450958963,0.891300718
ABC Unweighted,WI,age4,1,1,109,,0.1318016929,0.0117700344,0.108699282,0.1549041037
ABC Unweighted,WI,age5,0,1,576,,0.6964933495,0.0159974353,0.6650933287,0.7278933702
ABC Unweighted,WI,age5,1,1,251,,0.3035066505,0.0159974353,0.2721066298,0.3349066713
ABC Unweighted,WI,age6,0,1,526,,0.6360338573,0.0167408837,0.6031745842,0.6688931304
ABC Unweighted,WI,age6,1,1,301,,0.3639661427,0.0167408837,0.3311068696,0.3968254158
ABC Unweighted,WI,hsless,0,1,587,,0.7097944377,0.015791629,0.6787983769,0.7407904985
ABC Unweighted,WI,hsless,1,1,240,,0.2902055623,0.015791629,0.2592095015,0.3212016231
ABC Unweighted,WI,somecoll,0,1,609,,0.7363966143,0.0153298941,0.7063068541,0.7664863744
ABC Unweighted,WI,somecoll,1,1,218,,0.2636033857,0.0153298941,0.2335136256,0.2936931459
ABC Unweighted,WI,coll,0,1,599,,0.7243047158,0.0155483066,0.6937862522,0.7548231795
ABC Unweighted,WI,coll,1,1,228,,0.2756952842,0.0155483066,0.2451768205,0.3062137478
ABC Unweighted,WI,postcoll,0,1,686,,0.8295042322,0.0130850044,0.8038207771,0.8551876872
ABC Unweighted,WI,postcoll,1,1,141,,0.1704957678,0.0130850044,0.1448123128,0.1961792229
ABC Unweighted,WI,white,0,1,107,,0.1293833132,0.0116777829,0.106461975,0.1523046514
ABC Unweighted,WI,white,1,1,720,,0.8706166868,0.0116777829,0.8476953486,0.893538025
ABC Unweighted,WI,black,0,1,796,,0.9625151149,0.0066090592,0.9495427483,0.9754874815
ABC Unweighted,WI,black,1,1,31,,0.0374848851,0.0066090592,0.0245125185,0.0504572517
ABC Unweighted,WI,hisp,0,1,798,,0.9649334946,0.006400335,0.9523708152,0.977496174
ABC Unweighted,WI,hisp,1,1,29,,0.0350665054,0.006400335,0.022503826,0.0476291848
ABC Unweighted,WI,other,0,1,794,,0.9600967352,0.0068103508,0.9467292703,0.9734642001
ABC Unweighted,WI,other,1,1,33,,0.0399032648,0.0068103508,0.0265357999,0.0532707297
ABC Unweighted,WI,lib,0,1,624,,0.7545344619,0.0149741636,0.7251429352,0.7839259887
ABC Unweighted,WI,lib,1,1,203,,0.2454655381,0.0149741636,0.2160740113,0.2748570648
ABC Unweighted,WI,noideo,0,1,806,,0.9746070133,0.0054736803,0.9638631864,0.9853508402
ABC Unweighted,WI,noideo,1,1,21,,0.0253929867,0.0054736803,0.0146491598,0.0361368136
ABC Unweighted,WI,demparty,0,1,406,,0.4909310762,0.0173942747,0.4567893168,0.5250728355
ABC Unweighted,WI,demparty,1,1,421,,0.5090689238,0.0173942747,0.4749271645,0.5432106832
ABC Weighted,AZ,trumpind,0,1,309,301.8976833,0.5195048324,0.0236303211,0.4731023636,0.5659073012
ABC Weighted,AZ,trumpind,1,1,320,279.228159,0.4804951676,0.0236303211,0.4340926988,0.5268976364
ABC Weighted,AZ,male,0,1,277,294.8049352,0.5072996479,0.0236596076,0.4608396697,0.5537596262
ABC Weighted,AZ,male,1,1,352,286.3209071,0.4927003521,0.0236596076,0.4462403738,0.5391603303
ABC Weighted,AZ,age1,0,1,586,502.6051322,0.8648817444,0.0199704804,0.825666044,0.9040974448
ABC Weighted,AZ,age1,1,1,43,78.5207101,0.1351182556,0.0199704804,0.0959025552,0.174333956
ABC Weighted,AZ,age2,0,1,608,546.3080942,0.9400856999,0.0135139539,0.9135485733,0.9666228266
ABC Weighted,AZ,age2,1,1,21,34.8177481,0.0599143001,0.0135139539,0.0333771734,0.0864514267
