state,weight,likely,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other
AK,505.9472,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,562.1014,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
AK,470.6347,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
AK,561.5539,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,613.3737,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
AK,1180.39,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
AK,934.7882,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
AK,500.9998,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,573.7234,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
AK,485.0063,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,631.9715,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,606.2014,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,575.5211,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AK,497.443,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AK,592.0309,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AK,588.2323,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,476.2262,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,535.7883,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,925.3874,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
AK,533.369,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
AK,378.1127,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
AK,761.9585,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
AK,688.3908,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
AK,503.5664,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,501.5721,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
AK,409.8077,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
AK,546.9396,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AK,559.5633,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
AK,535.58,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,570.9132,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
AK,686.2125,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AK,414.3264,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
AK,568.2882,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AK,573.973,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,532.6984,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,1167.5164,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
AK,686.5182,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
